EC,LITERATURE,PubMedID
1.1.1.105,737923,25481533
1.1.1.105,667537,16787387
1.1.1.107,656239,15226311
1.1.1.107,667329,16824480
1.1.1.108,740222,24101242
1.1.1.108,740987,23794271
1.1.1.11,701082,19629658
1.1.1.118,763638,N/A
1.1.1.119,686754,17289028
1.1.1.119,728011,24742629
1.1.1.119,699602,N/A
1.1.1.12,684627,
1.1.1.12,711121,
1.1.1.12,761551,
1.1.1.12,696988,
1.1.1.12,738728,
1.1.1.12,710970,
1.1.1.12,740145,
1.1.1.12,712767,
1.1.1.120,739943,
1.1.1.121,697263,
1.1.1.121,747502,
1.1.1.123,762664,
1.1.1.127,741387,
1.1.1.133,285846,
1.1.1.136,725107,
1.1.1.136,667737,
1.1.1.14,655289,
1.1.1.14,686021,
1.1.1.14,684974,
1.1.1.14,736022,
1.1.1.140,763401,
1.1.1.141,654374,
1.1.1.141,726267,
1.1.1.144,285944,
1.1.1.145,684725,
1.1.1.145,725813,
1.1.1.145,389390,
1.1.1.145,688685,
1.1.1.145,662371,
1.1.1.145,656577,
1.1.1.145,700182,
1.1.1.145,725820,
1.1.1.145,763397,
1.1.1.145,656091,
1.1.1.145,763139,
1.1.1.145,685186,
1.1.1.145,763569,
1.1.1.146,285962,
1.1.1.146,656133,
1.1.1.146,669419,
1.1.1.149,740126,
1.1.1.149,286001,
1.1.1.149,286003,
1.1.1.149,763262,
1.1.1.153,725527,
1.1.1.154,726324,
1.1.1.157,760296,
1.1.1.159,760413,
1.1.1.159,286085,
1.1.1.159,286083,
1.1.1.159,760915,
1.1.1.159,740787,
1.1.1.16,740390,
1.1.1.168,761008,
1.1.1.169,740065,
1.1.1.169,736827,
1.1.1.169,687675,
1.1.1.169,286110,
1.1.1.17,685964,
1.1.1.17,722234,
1.1.1.17,697276,
1.1.1.173,687737,
1.1.1.175,761261,
1.1.1.175,725868,
1.1.1.176,760397,
1.1.1.176,761221,
1.1.1.176,760391,
1.1.1.179,286126,
1.1.1.179,686797,
1.1.1.179,655884,
1.1.1.179,684150,
1.1.1.179,723749,
1.1.1.18,685170,
1.1.1.183,741134,
1.1.1.184,724899,
1.1.1.184,724718,
1.1.1.184,724831,
1.1.1.184,685454,
1.1.1.184,721912,
1.1.1.184,724046,
1.1.1.184,701097,
1.1.1.184,695766,
1.1.1.184,740479,
1.1.1.184,740481,
1.1.1.184,697269,
1.1.1.184,688959,
1.1.1.184,697262,
1.1.1.184,740436,
1.1.1.184,654729,
1.1.1.184,740396,
1.1.1.184,724714,
1.1.1.184,760865,
1.1.1.184,740356,
1.1.1.184,697584,
1.1.1.184,686356,
1.1.1.184,760967,
1.1.1.184,697582,
1.1.1.184,668391,
1.1.1.184,740466,
1.1.1.184,684196,
1.1.1.184,668014,
1.1.1.188,685035,
1.1.1.188,760437,
1.1.1.188,687797,
1.1.1.19,761270,
1.1.1.192,712962,
1.1.1.194,739587,
1.1.1.195,724592,
1.1.1.195,726086,
1.1.1.195,761954,
1.1.1.195,762157,
1.1.1.195,761184,
1.1.1.195,739335,
1.1.1.195,668545,
1.1.1.195,739876,
1.1.1.195,740539,
1.1.1.195,723979,
1.1.1.195,698623,
1.1.1.195,740176,
1.1.1.195,739331,
1.1.1.195,670569,
1.1.1.195,724491,
1.1.1.195,741132,
1.1.1.195,741161,
1.1.1.195,670596,
1.1.1.195,741217,
1.1.1.195,347815,
1.1.1.198,724125,
1.1.1.198,762115,
1.1.1.198,762171,
1.1.1.198,740520,
1.1.1.198,762321,
1.1.1.198,739915,
1.1.1.198,760425,
1.1.1.198,761009,
1.1.1.2,286165,
1.1.1.2,738511,
1.1.1.2,736930,
1.1.1.2,760278,
1.1.1.2,737874,
1.1.1.2,654493,
1.1.1.2,726712,
1.1.1.2,286168,
1.1.1.2,722498,
1.1.1.2,684751,
1.1.1.2,697837,
1.1.1.2,687794,
1.1.1.2,763448,
1.1.1.2,698623,
1.1.1.2,675348,
1.1.1.2,737536,
1.1.1.2,737531,
1.1.1.200,696497,
1.1.1.201,724054,
1.1.1.201,761334,
1.1.1.202,740216,
1.1.1.202,712531,
1.1.1.203,762310,
1.1.1.203,740959,
1.1.1.203,740393,
1.1.1.203,698607,
1.1.1.203,286231,
1.1.1.203,761270,
1.1.1.203,762511,
1.1.1.203,760723,
1.1.1.205,724327,
1.1.1.205,702243,
1.1.1.205,347948,
1.1.1.205,760879,
1.1.1.205,347959,
1.1.1.205,741245,
1.1.1.205,762347,
1.1.1.205,740742,
1.1.1.205,739950,
1.1.1.205,740217,
1.1.1.205,726097,
1.1.1.205,724347,
1.1.1.205,711219,
1.1.1.205,689355,
1.1.1.205,684706,
1.1.1.205,712703,
1.1.1.205,667219,
1.1.1.205,667573,
1.1.1.205,701583,
1.1.1.205,347956,
1.1.1.205,347955,
1.1.1.205,667508,
1.1.1.205,741400,
1.1.1.206,741278,
1.1.1.206,741124,
1.1.1.206,725098,
1.1.1.206,761178,
1.1.1.206,760748,
1.1.1.206,670518,
1.1.1.207,762112,
1.1.1.207,670590,
1.1.1.207,739778,
1.1.1.208,726141,
1.1.1.208,670590,
1.1.1.208,762112,
1.1.1.208,739778,
1.1.1.209,389547,
1.1.1.209,710716,
1.1.1.209,695325,
1.1.1.21,697266,
1.1.1.21,695881,
1.1.1.21,656264,
1.1.1.21,286258,
1.1.1.21,286241,
1.1.1.21,762387,
1.1.1.21,695843,
1.1.1.21,286221,
1.1.1.21,286262,
1.1.1.21,737604,
1.1.1.21,667807,
1.1.1.21,667553,
1.1.1.21,739042,
1.1.1.21,698094,
1.1.1.213,654726,
1.1.1.213,684676,
1.1.1.213,760397,
1.1.1.213,672088,
1.1.1.213,347989,
1.1.1.213,724719,
1.1.1.213,286354,
1.1.1.213,687635,
1.1.1.213,677001,
1.1.1.213,347988,
1.1.1.213,669389,
1.1.1.213,654756,
1.1.1.214,761008,
1.1.1.215,721369,
1.1.1.215,761153,
1.1.1.218,739953,
1.1.1.219,738059,
1.1.1.219,741296,
1.1.1.22,655477,
1.1.1.22,724364,
1.1.1.22,724370,
1.1.1.22,700059,
1.1.1.22,687559,
1.1.1.22,760583,
1.1.1.22,760597,
1.1.1.22,760612,
1.1.1.22,760273,
1.1.1.22,740710,
1.1.1.22,725260,
1.1.1.22,684611,
1.1.1.22,739891,
1.1.1.22,687474,
1.1.1.22,725478,
1.1.1.22,688084,
1.1.1.22,286301,
1.1.1.227,724125,
1.1.1.227,760425,
1.1.1.227,762321,
1.1.1.227,739915,
1.1.1.227,761009,
1.1.1.23,286325,
1.1.1.23,286331,
1.1.1.23,286324,
1.1.1.23,741402,
1.1.1.23,721426,
1.1.1.23,286326,
1.1.1.236,654707,
1.1.1.236,670518,
1.1.1.236,760748,
1.1.1.237,761180,
1.1.1.237,724428,
1.1.1.239,740637,
1.1.1.239,739953,
1.1.1.239,724719,
1.1.1.239,286354,
1.1.1.239,712882,
1.1.1.24,762187,
1.1.1.24,727115,
1.1.1.24,684153,
1.1.1.240,286366,
1.1.1.244,763060,
1.1.1.244,763157,
1.1.1.244,741715,
1.1.1.247,763579,
1.1.1.248,689571,
1.1.1.248,698937,
1.1.1.25,724089,
1.1.1.25,761171,
1.1.1.25,684670,
1.1.1.25,711616,
1.1.1.25,762187,
1.1.1.25,740821,
1.1.1.25,670786,
1.1.1.25,739956,
1.1.1.25,762145,
1.1.1.25,668576,
1.1.1.25,694093,
1.1.1.25,697894,
1.1.1.25,667700,
1.1.1.25,686243,
1.1.1.25,741030,
1.1.1.25,669163,
1.1.1.25,698320,
1.1.1.25,684153,
1.1.1.25,740978,
1.1.1.25,685190,
1.1.1.25,762311,
1.1.1.250,721370,
1.1.1.250,746873,
1.1.1.252,"9571,9577",
1.1.1.252,9571,
1.1.1.26,685349,
1.1.1.26,762165,
1.1.1.26,684838,
1.1.1.26,685901,
1.1.1.261,741384,
1.1.1.261,667351,
1.1.1.261,655451,
1.1.1.261,740738,
1.1.1.262,207962,
1.1.1.263,667698,
1.1.1.263,207965,
1.1.1.263,667264,
1.1.1.264,761153,
1.1.1.265,286203,
1.1.1.265,737753,
1.1.1.265,763285,
1.1.1.266,246376,
1.1.1.267,671590,
1.1.1.267,740062,
1.1.1.267,741292,
1.1.1.267,713353,
1.1.1.267,673562,
1.1.1.267,"724346,724374",
1.1.1.267,671075,
1.1.1.267,698490,
1.1.1.267,"672040,675577",
1.1.1.267,675580,
1.1.1.267,675577,
1.1.1.267,724374,
1.1.1.267,672040,
1.1.1.267,724346,
1.1.1.267,712892,
1.1.1.268,762714,
1.1.1.268,654760,
1.1.1.268,711235,
1.1.1.268,389507,
1.1.1.268,712458,
1.1.1.269,711235,
1.1.1.27,740541,
1.1.1.27,654758,
1.1.1.27,686655,
1.1.1.27,762306,
1.1.1.27,286471,
1.1.1.27,286458,
1.1.1.27,670748,
1.1.1.27,656752,
1.1.1.27,286437,
1.1.1.27,761568,
1.1.1.27,761856,
1.1.1.27,684519,
1.1.1.27,689763,
1.1.1.27,656750,
1.1.1.27,697662,
1.1.1.27,741355,
1.1.1.27,688389,
1.1.1.27,286470,
1.1.1.27,740460,
1.1.1.270,656200,
1.1.1.270,760397,
1.1.1.270,724124,
1.1.1.270,763397,
1.1.1.271,389519,
1.1.1.271,698467,
1.1.1.274,440304,
1.1.1.274,440312,
1.1.1.274,669104,
1.1.1.274,440311,
1.1.1.276,639084,
1.1.1.28,739905,
1.1.1.28,761339,
1.1.1.28,722140,
1.1.1.28,669152,
1.1.1.28,760371,
1.1.1.28,669327,
1.1.1.28,739841,
1.1.1.28,761357,
1.1.1.28,760888,
1.1.1.28,723678,
1.1.1.28,761630,
1.1.1.28,286491,
1.1.1.28,741405,
1.1.1.28,760237,
1.1.1.28,721879,
1.1.1.28,721909,
1.1.1.28,760515,
1.1.1.28,761856,
1.1.1.28,741246,
1.1.1.282,724089,
1.1.1.282,739956,
1.1.1.282,740100,
1.1.1.282,656292,
1.1.1.282,644536,
1.1.1.282,727115,
1.1.1.282,762145,
1.1.1.282,694093,
1.1.1.283,670170,
1.1.1.283,736122,
1.1.1.283,764666,
1.1.1.284,287893,
1.1.1.284,657054,
1.1.1.284,740432,
1.1.1.284,80989,
1.1.1.284,667724,
1.1.1.284,763680,
1.1.1.284,287886,
1.1.1.284,287890,
1.1.1.284,287880,
1.1.1.284,287894,
1.1.1.284,668977,
1.1.1.284,696092,
1.1.1.284,704293,
1.1.1.284,704451,
1.1.1.284,697214,
1.1.1.286,660918,
1.1.1.286,740021,
1.1.1.286,660907,
1.1.1.286,740000,
1.1.1.286,738195,
1.1.1.286,656127,
1.1.1.287,658781,
1.1.1.287,701082,
1.1.1.289,667018,
1.1.1.29,762165,
1.1.1.290,724295,
1.1.1.292,667698,
1.1.1.292,685692,
1.1.1.292,667264,
1.1.1.295,741178,
1.1.1.298,695710,
1.1.1.298,698628,
1.1.1.299,668012,
1.1.1.299,761765,
1.1.1.3,712490,
1.1.1.3,654640,
1.1.1.3,761687,
1.1.1.3,761404,
1.1.1.3,741408,
1.1.1.30,679792,
1.1.1.30,668251,
1.1.1.30,669544,
1.1.1.30,698660,
1.1.1.30,737912,
1.1.1.30,695653,
1.1.1.30,737914,
1.1.1.300,667537,
1.1.1.300,685381,
1.1.1.300,654687,
1.1.1.300,739913,
1.1.1.304,737478,
1.1.1.304,737865,
1.1.1.305,725414,
1.1.1.307,764095,
1.1.1.307,761297,
1.1.1.307,695733,
1.1.1.307,700009,
1.1.1.307,722851,
1.1.1.307,765140,
1.1.1.307,696522,
1.1.1.307,286260,
1.1.1.307,699505,
1.1.1.307,699066,
1.1.1.307,711539,
1.1.1.307,764098,
1.1.1.307,764945,
1.1.1.309,712363,
1.1.1.31,760528,
1.1.1.31,286544,
1.1.1.31,762158,
1.1.1.31,737620,
1.1.1.31,737911,
1.1.1.31,739465,
1.1.1.31,695710,
1.1.1.311,707292,
1.1.1.313,762706,
1.1.1.317,716558,
1.1.1.318,740112,
1.1.1.318,717154,
1.1.1.318,718214,
1.1.1.319,700822,
1.1.1.319,763553,
1.1.1.319,718214,
1.1.1.320,717892,
1.1.1.320,739919,
1.1.1.325,286026,
1.1.1.326,717593,
1.1.1.332,763533,
1.1.1.332,720615,
1.1.1.332,720397,
1.1.1.335,718891,
1.1.1.336,692855,
1.1.1.337,727405,
1.1.1.337,728726,
1.1.1.337,"727405,728726",
1.1.1.337,762687,
1.1.1.337,"727405,728726",
1.1.1.337,"727405,728726",
1.1.1.34,688473,
1.1.1.340,718689,
1.1.1.343,761070,
1.1.1.343,721369,
1.1.1.343,741424,
1.1.1.343,741428,
1.1.1.345,731727,
1.1.1.345,743180,
1.1.1.346,440304,
1.1.1.346,440312,
1.1.1.346,440311,
1.1.1.347,686700,
1.1.1.35,286589,
1.1.1.35,741307,
1.1.1.35,726748,
1.1.1.35,712966,
1.1.1.35,684902,
1.1.1.35,760296,
1.1.1.35,761558,
1.1.1.35,286590,
1.1.1.35,286591,
1.1.1.35,657276,
1.1.1.35,286588,
1.1.1.35,739989,
1.1.1.350,723597,
1.1.1.351,700013,
1.1.1.354,686700,
1.1.1.357,724209,
1.1.1.357,724207,
1.1.1.357,760867,
1.1.1.357,742260,
1.1.1.357,724208,
1.1.1.357,761761,
1.1.1.357,739957,
1.1.1.357,654626,
1.1.1.357,743179,
1.1.1.357,760734,
1.1.1.357,725345,
1.1.1.358,761008,
1.1.1.358,762360,
1.1.1.359,669452,
1.1.1.359,718811,
1.1.1.359,656156,
1.1.1.36,687492,
1.1.1.36,286620,
1.1.1.36,761574,
1.1.1.36,740743,
1.1.1.361,762545,
1.1.1.361,762724,
1.1.1.363,721580,
1.1.1.363,721584,
1.1.1.363,761295,
1.1.1.363,723718,
1.1.1.363,721411,
1.1.1.363,742533,
1.1.1.363,740461,
1.1.1.365,724580,
1.1.1.365,722316,
1.1.1.366,761153,
1.1.1.368,724904,
1.1.1.369,727372,
1.1.1.37,761185,
1.1.1.37,711519,
1.1.1.37,712865,
1.1.1.37,712915,
1.1.1.37,668012,
1.1.1.37,722201,
1.1.1.37,741234,
1.1.1.37,740975,
1.1.1.37,700146,
1.1.1.37,655488,
1.1.1.37,286638,
1.1.1.37,655486,
1.1.1.37,654907,
1.1.1.37,760498,
1.1.1.37,761624,
1.1.1.37,655635,
1.1.1.37,726927,
1.1.1.37,689763,
1.1.1.37,286659,
1.1.1.37,286660,
1.1.1.37,733816,
1.1.1.37,761765,
1.1.1.37,760294,
1.1.1.370,763619,
1.1.1.373,762529,
1.1.1.374,726671,
1.1.1.376,739943,
1.1.1.376,669488,
1.1.1.376,760509,
1.1.1.376,761085,
1.1.1.377,727435,
1.1.1.378,687737,
1.1.1.378,763033,
1.1.1.379,763170,
1.1.1.38,737754,
1.1.1.38,689861,
1.1.1.38,286678,
1.1.1.38,760890,
1.1.1.38,286685,
1.1.1.380,729265,
1.1.1.381,639084,
1.1.1.382,732457,
1.1.1.383,732457,
1.1.1.383,739528,
1.1.1.383,738976,
1.1.1.387,725474,
1.1.1.388,729742,
1.1.1.39,689604,
1.1.1.39,712417,
1.1.1.39,711147,
1.1.1.39,711524,
1.1.1.39,286710,
1.1.1.390,735194,
1.1.1.391,736859,
1.1.1.391,736216,
1.1.1.392,736859,
1.1.1.393,736859,
1.1.1.395,739615,
1.1.1.399,287546,
1.1.1.4,737501,
1.1.1.4,738637,
1.1.1.4,739127,
1.1.1.4,739571,
1.1.1.4,760423,
1.1.1.4,740952,
1.1.1.40,668573,
1.1.1.40,760547,
1.1.1.40,723150,
1.1.1.40,723390,
1.1.1.40,737754,
1.1.1.40,762000,
1.1.1.40,689565,
1.1.1.40,698912,
1.1.1.40,670777,
1.1.1.40,687668,
1.1.1.40,761864,
1.1.1.40,685000,
1.1.1.40,689506,
1.1.1.40,739333,
1.1.1.40,712042,
1.1.1.40,697911,
1.1.1.40,760644,
1.1.1.40,680589,
1.1.1.40,286723,
1.1.1.40,286706,
1.1.1.40,740773,
1.1.1.40,656120,
1.1.1.40,654547,
1.1.1.40,723540,
1.1.1.40,698969,
1.1.1.40,697879,
1.1.1.40,762125,
1.1.1.40,670594,
1.1.1.40,687388,
1.1.1.401,697897,
1.1.1.404,741332,
1.1.1.405,645254,
1.1.1.405,698603,
1.1.1.405,650236,
1.1.1.407,740741,
1.1.1.408,741345,
1.1.1.41,669477,
1.1.1.41,670158,
1.1.1.41,723607,
1.1.1.41,761866,
1.1.1.41,660907,
1.1.1.41,760649,
1.1.1.41,741414,
1.1.1.41,741236,
1.1.1.41,760747,
1.1.1.41,740425,
1.1.1.41,655607,
1.1.1.41,721450,
1.1.1.41,761311,
1.1.1.41,722295,
1.1.1.41,762222,
1.1.1.410,741345,
1.1.1.411,762717,
1.1.1.411,741345,
1.1.1.412,741882,
1.1.1.414,747072,
1.1.1.414,741640,
1.1.1.415,748942,
1.1.1.416,745254,
1.1.1.42,761477,
1.1.1.42,761403,
1.1.1.42,760535,
1.1.1.42,655456,
1.1.1.42,670805,
1.1.1.42,668080,
1.1.1.42,723152,
1.1.1.42,761866,
1.1.1.42,760653,
1.1.1.42,762446,
1.1.1.42,760361,
1.1.1.42,688373,
1.1.1.42,762409,
1.1.1.42,721687,
1.1.1.42,286749,
1.1.1.42,761559,
1.1.1.42,761052,
1.1.1.42,722205,
1.1.1.42,667326,
1.1.1.42,739874,
1.1.1.42,740551,
1.1.1.42,696488,
1.1.1.42,760747,
1.1.1.42,761055,
1.1.1.42,762222,
1.1.1.422,755862,
1.1.1.422,752351,
1.1.1.423,752351,
1.1.1.424,757089,
1.1.1.425,760725,
1.1.1.427,764192,
1.1.1.427,719837,
1.1.1.427,764189,
1.1.1.430,764945,
1.1.1.430,711131,
1.1.1.430,765348,
1.1.1.430,761599,
1.1.1.430,696196,
1.1.1.431,764945,
1.1.1.431,764095,
1.1.1.431,761066,
1.1.1.431,761007,
1.1.1.431,762450,
1.1.1.431,760777,
1.1.1.431,701424,
1.1.1.431,"764095,765140",
1.1.1.431,740777,
1.1.1.431,760720,
1.1.1.431,696376,
1.1.1.431,765140,
1.1.1.433,762832,
1.1.1.44,654952,
1.1.1.44,761698,
1.1.1.44,740875,
1.1.1.44,762131,
1.1.1.44,741367,
1.1.1.44,748598,
1.1.1.44,286841,
1.1.1.44,656751,
1.1.1.44,741424,
1.1.1.44,743817,
1.1.1.44,741428,
1.1.1.45,286910,
1.1.1.47,760248,
1.1.1.47,669452,
1.1.1.47,639105,
1.1.1.47,718811,
1.1.1.47,639101,
1.1.1.47,654301,
1.1.1.47,639100,
1.1.1.47,734842,
1.1.1.47,739842,
1.1.1.47,760889,
1.1.1.47,763151,
1.1.1.47,679615,
1.1.1.47,677657,
1.1.1.47,656156,
1.1.1.47,711501,
1.1.1.47,740388,
1.1.1.47,740382,
1.1.1.48,286973,
1.1.1.48,286971,
1.1.1.49,673944,
1.1.1.49,655612,
1.1.1.49,287016,
1.1.1.49,741033,
1.1.1.49,696748,
1.1.1.49,689323,
1.1.1.49,711462,
1.1.1.49,674379,
1.1.1.49,672382,
1.1.1.49,689022,
1.1.1.49,696447,
1.1.1.49,741011,
1.1.1.49,760410,
1.1.1.49,696962,
1.1.1.49,741254,
1.1.1.49,722244,
1.1.1.49,286985,
1.1.1.50,655348,
1.1.1.50,389547,
1.1.1.50,656300,
1.1.1.50,684676,
1.1.1.50,656787,
1.1.1.50,760866,
1.1.1.50,389540,
1.1.1.50,672088,
1.1.1.50,656838,
1.1.1.50,656200,
1.1.1.50,687635,
1.1.1.50,654626,
1.1.1.50,655790,
1.1.1.50,654924,
1.1.1.50,655214,
1.1.1.50,738928,
1.1.1.50,669389,
1.1.1.50,389526,
1.1.1.50,760734,
1.1.1.50,696459,
1.1.1.51,740637,
1.1.1.51,659176,
1.1.1.53,657157,
1.1.1.53,738928,
1.1.1.53,287087,
1.1.1.54,685505,
1.1.1.56,763625,
1.1.1.56,287120,
1.1.1.56,738926,
1.1.1.59,738640,
1.1.1.59,695710,
1.1.1.6,762346,
1.1.1.6,710980,
1.1.1.6,760880,
1.1.1.6,761688,
1.1.1.6,740856,
1.1.1.6,741417,
1.1.1.60,"287165,287166",
1.1.1.61,737764,
1.1.1.62,287208,
1.1.1.62,740849,
1.1.1.62,760700,
1.1.1.62,740743,
1.1.1.62,762698,
1.1.1.62,760864,
1.1.1.62,761756,
1.1.1.62,670265,
1.1.1.62,687869,
1.1.1.62,672789,
1.1.1.64,724719,
1.1.1.67,722234,
1.1.1.67,741375,
1.1.1.67,712470,
1.1.1.67,763052,
1.1.1.67,667571,
1.1.1.67,740876,
1.1.1.67,686764,
1.1.1.67,711136,
1.1.1.67,287261,
1.1.1.69,761084,
1.1.1.71,726699,
1.1.1.71,735486,
1.1.1.71,761529,
1.1.1.71,"726699,726712",
1.1.1.71,726712,
1.1.1.71,738540,
1.1.1.71,287277,
1.1.1.71,"726699,726712",
1.1.1.72,712771,
1.1.1.76,737478,
1.1.1.76,761081,
1.1.1.76,737865,
1.1.1.79,760738,
1.1.1.79,737745,
1.1.1.79,761177,
1.1.1.79,688090,
1.1.1.79,667814,
1.1.1.79,685774,
1.1.1.79,684141,
1.1.1.8,740076,
1.1.1.8,287342,
1.1.1.8,287331,
1.1.1.8,655936,
1.1.1.80,762621,
1.1.1.81,760546,
1.1.1.81,761180,
1.1.1.81,739674,
1.1.1.81,684141,
1.1.1.82,696461,
1.1.1.82,287428,
1.1.1.85,737729,
1.1.1.85,738685,
1.1.1.85,738239,
1.1.1.85,711150,
1.1.1.85,725437,
1.1.1.85,763696,
1.1.1.85,639156,
1.1.1.85,724976,
1.1.1.85,711511,
1.1.1.85,738195,
1.1.1.85,738191,
1.1.1.85,763032,
1.1.1.85,639161,
1.1.1.85,639158,
1.1.1.85,748065,
1.1.1.85,701046,
1.1.1.85,687442,
1.1.1.85,680429,
1.1.1.85,639164,
1.1.1.85,639159,
1.1.1.85,639155,
1.1.1.85,763739,
1.1.1.85,657223,
1.1.1.85,668635,
1.1.1.86,762924,
1.1.1.86,763172,
1.1.1.86,762676,
1.1.1.86,763188,
1.1.1.86,763730,
1.1.1.86,737785,
1.1.1.86,738219,
1.1.1.86,639177,
1.1.1.86,639174,
1.1.1.86,738067,
1.1.1.86,655530,
1.1.1.86,738989,
1.1.1.86,639183,
1.1.1.86,739528,
1.1.1.86,762942,
1.1.1.87,722303,
1.1.1.87,667934,
1.1.1.87,656127,
1.1.1.87,660918,
1.1.1.87,760522,
1.1.1.87,660907,
1.1.1.87,685539,
1.1.1.87,669109,
1.1.1.88,760594,
1.1.1.9,655221,
1.1.1.9,667227,
1.1.1.9,684974,
1.1.1.9,738728,
1.1.1.9,761551,
1.1.1.9,669305,
1.1.1.9,737866,
1.1.1.9,742112,
1.1.1.9,670911,
1.1.1.9,761562,
1.1.1.90,389587,
1.1.1.90,389593,
1.1.1.90,389581,
1.1.1.90,724027,
1.1.1.90,692723,
1.1.1.90,389596,
1.1.1.90,724592,
1.1.1.90,739587,
1.1.1.91,737897,
1.1.1.91,738738,
1.1.1.91,762641,
1.1.1.91,724669,
1.1.1.91,735498,
1.1.1.93,389617,
1.1.1.93,389612,
1.1.1.93,710720,
1.1.1.95,763716,
1.1.1.95,737315,
1.1.1.95,762672,
1.1.1.95,763090,
1.1.1.95,738215,
1.1.1.95,739293,
1.1.1.95,667649,
1.1.1.95,763108,
1.1.1.95,737556,
1.1.1.95,287546,
1.1.1.95,687625,
1.1.1.95,763528,
1.1.1.95,287548,
1.1.1.95,696285,
1.1.1.B19,711517,
1.1.1.B20,761599,
1.1.1.B20,761081,
1.1.1.B20,760817,
1.1.1.B20,721397,
1.1.1.B28,723209,
1.1.1.B3,684583,
1.1.1.B3,697839,
1.1.1.B3,740303,
1.1.1.B38,723732,
1.1.1.B38,760596,
1.1.1.B4,697839,
1.1.1.B4,741784,
1.1.1.B4,684583,
1.1.1.B4,740394,
1.1.1.B4,739942,
1.1.1.B4,721911,
1.1.1.B47,698628,
1.1.1.B51,728943,
1.1.1.B57,727585,
1.1.1.B60,741426,
1.1.1.B64,742112,
1.1.1.B65,743100,
1.1.2.10,756461,
1.1.2.3,743420,
1.1.2.3,654690,
1.1.2.3,743494,
1.1.2.3,696302,
1.1.2.3,722153,
1.1.2.3,696075,
1.1.2.3,348069,
1.1.2.3,685174,
1.1.2.3,348071,
1.1.2.3,348076,
1.1.2.3,348065,
1.1.2.3,685150,
1.1.2.3,348072,
1.1.2.3,348070,
1.1.2.3,348075,
1.1.2.3,"348070,348075",
1.1.2.4,763102,
1.1.2.4,698932,
1.1.2.4,389624,
1.1.2.4,389623,
1.1.2.7,667721,
1.1.2.7,725300,
1.1.2.8,742110,
1.1.2.B5,741228,
1.1.2.B5,739998,
1.1.3.10,741475,
1.1.3.10,711984,
1.1.3.10,724062,
1.1.3.10,697917,
1.1.3.10,712953,
1.1.3.10,687890,
1.1.3.10,699081,
1.1.3.10,655049,
1.1.3.10,741354,
1.1.3.10,696888,
1.1.3.10,696887,
1.1.3.10,741299,
1.1.3.10,724979,
1.1.3.10,712500,
1.1.3.10,712222,
1.1.3.10,741294,
1.1.3.10,741252,
