EntryID	Substrate	Product	EnzymeType	PubMedID	Organism	UniprotID	ECNumber	pH	Temperature	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit
46934	Succinate semialdehyde;H+;NADPH	NADP+;4-Hydroxybutanoate	mutant M77W	16460003	Rattus norvegicus	P38918	1.1.1.n11	6.6	25.0	kcat/Km	Succinate semialdehyde	24666.67		-	M^(-1)*s^(-1)
46934	Succinate semialdehyde;H+;NADPH	NADP+;4-Hydroxybutanoate	mutant M77W	16460003	Rattus norvegicus	P38918	1.1.1.n11	6.6	25.0	kcat		1.145		4.666667E-2	s^(-1)
46934	Succinate semialdehyde;H+;NADPH	NADP+;4-Hydroxybutanoate	mutant M77W	16460003	Rattus norvegicus	P38918	1.1.1.n11	6.6	25.0	concentration	NADPH	1.0E-4		-	M
46935	Succinate semialdehyde;NADPH;H+	NADP+;4-Hydroxybutanoate	mutant F224W	16460003	Rattus norvegicus	P38918	1.1.1.n11	6.6	25.0	Km	Succinate semialdehyde	1.48E-4		1.61E-5	M
46935	Succinate semialdehyde;NADPH;H+	NADP+;4-Hydroxybutanoate	mutant F224W	16460003	Rattus norvegicus	P38918	1.1.1.n11	6.6	25.0	kcat/Km	Succinate semialdehyde	7833.333		-	M^(-1)*s^(-1)
46935	Succinate semialdehyde;NADPH;H+	NADP+;4-Hydroxybutanoate	mutant F224W	16460003	Rattus norvegicus	P38918	1.1.1.n11	6.6	25.0	kcat		1.105		5.666667E-2	s^(-1)
46935	Succinate semialdehyde;NADPH;H+	NADP+;4-Hydroxybutanoate	mutant F224W	16460003	Rattus norvegicus	P38918	1.1.1.n11	6.6	25.0	concentration	NADPH	1.0E-4		-	M
46936	H+;Succinate semialdehyde;NADPH	4-Hydroxybutanoate;NADP+	wildtype AKR7A1	16460003	Rattus norvegicus	P38918	1.1.1.n11	6.6	25.0	concentration	NADPH	1.0E-4		-	M
46936	H+;Succinate semialdehyde;NADPH	4-Hydroxybutanoate;NADP+	wildtype AKR7A1	16460003	Rattus norvegicus	P38918	1.1.1.n11	6.6	25.0	Ki	Succinate	3.2E-4		2E-5	M
46937	Succinate semialdehyde;NADPH;H+	4-Hydroxybutanoate;NADP+	wildtype AKR7A5 His6-tagged	16460003	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	concentration	NADPH	1.0E-4		-	M
46937	Succinate semialdehyde;NADPH;H+	4-Hydroxybutanoate;NADP+	wildtype AKR7A5 His6-tagged	16460003	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	Ki	Succinate	1.2E-4		7E-6	M
46938	H+;Succinate semialdehyde;NADPH	NADP+;4-Hydroxybutanoate	wildtype AKR7A1	16460003	Rattus norvegicus	P38918	1.1.1.n11	6.6	25.0	Ki	Citrate	1.6E-4		8E-6	M
46938	H+;Succinate semialdehyde;NADPH	NADP+;4-Hydroxybutanoate	wildtype AKR7A1	16460003	Rattus norvegicus	P38918	1.1.1.n11	6.6	25.0	concentration	NADPH	1.0E-4		-	M
46939	H+;Succinate semialdehyde;NADPH	4-Hydroxybutanoate;NADP+	wildtype AKR7A5 His6-tagged	16460003	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	Ki	Citrate	1.0E-4		6E-6	M
46939	H+;Succinate semialdehyde;NADPH	4-Hydroxybutanoate;NADP+	wildtype AKR7A5 His6-tagged	16460003	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	concentration	NADPH	1.0E-4		-	M
46940	H+;NADPH;Succinate semialdehyde	4-Hydroxybutanoate;NADP+	wildtype AKR7A1	16460003	Rattus norvegicus	P38918	1.1.1.n11	6.6	25.0	concentration	NADPH	1.0E-4		-	M
46940	H+;NADPH;Succinate semialdehyde	4-Hydroxybutanoate;NADP+	wildtype AKR7A1	16460003	Rattus norvegicus	P38918	1.1.1.n11	6.6	25.0	Ki	Tartrate	8.4E-4		5E-5	M
46941	H+;NADPH;Succinate semialdehyde	NADP+;4-Hydroxybutanoate	wildtype AKR7A5 His6-tagged	16460003	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	Ki	Tartrate	8.1E-4		6E-5	M
46941	H+;NADPH;Succinate semialdehyde	NADP+;4-Hydroxybutanoate	wildtype AKR7A5 His6-tagged	16460003	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	concentration	NADPH	1.0E-4		-	M
46942	NADPH;H+;Succinate semialdehyde	4-Hydroxybutanoate;NADP+	wildtype AKR7A1	16460003	Rattus norvegicus	P38918	1.1.1.n11	6.6	25.0	Ki	N-Formylglycine	0.0074		1.7E-3	M
46942	NADPH;H+;Succinate semialdehyde	4-Hydroxybutanoate;NADP+	wildtype AKR7A1	16460003	Rattus norvegicus	P38918	1.1.1.n11	6.6	25.0	concentration	NADPH	1.0E-4		-	M
46943	NADPH;H+;Succinate semialdehyde	4-Hydroxybutanoate;NADP+	wildtype AKR7A5 His6-tagged	16460003	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	Ki	N-Formylglycine	8.5E-4		5E-5	M
46943	NADPH;H+;Succinate semialdehyde	4-Hydroxybutanoate;NADP+	wildtype AKR7A5 His6-tagged	16460003	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	concentration	NADPH	1.0E-4		-	M
48037	NADPH;H+;Succinate semialdehyde	NADP+;4-Hydroxybutanoate	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	kcat/Km	Succinate semialdehyde	0.1		1.666667E4	M^(-1)*s^(-1)
48037	NADPH;H+;Succinate semialdehyde	NADP+;4-Hydroxybutanoate	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	Km	Succinate semialdehyde	1.54E-5		2E-6	M
48037	NADPH;H+;Succinate semialdehyde	NADP+;4-Hydroxybutanoate	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	kcat		1.533333		5E-2	s^(-1)
48037	NADPH;H+;Succinate semialdehyde	NADP+;4-Hydroxybutanoate	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	concentration	Succinate semialdehyde	1.5E-6	1.5E-4	-	M
48037	NADPH;H+;Succinate semialdehyde	NADP+;4-Hydroxybutanoate	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	concentration	NADPH	2.0E-4		-	M
48037	NADPH;H+;Succinate semialdehyde	NADP+;4-Hydroxybutanoate	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	concentration	unknown compound			-	-
48039	H+;2-Carboxybenzaldehyde;NADPH	NADP+;2-(Hydroxymethyl)benzoic acid	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	concentration	NADPH	2.0E-4		-	M
48039	H+;2-Carboxybenzaldehyde;NADPH	NADP+;2-(Hydroxymethyl)benzoic acid	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	concentration	unknown compound			-	-
48039	H+;2-Carboxybenzaldehyde;NADPH	NADP+;2-(Hydroxymethyl)benzoic acid	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	Km	2-Carboxybenzaldehyde	2.02E-5		1.2E-6	M
48039	H+;2-Carboxybenzaldehyde;NADPH	NADP+;2-(Hydroxymethyl)benzoic acid	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	kcat/Km	2-Carboxybenzaldehyde	0.085		1.666667E4	M^(-1)*s^(-1)
48039	H+;2-Carboxybenzaldehyde;NADPH	NADP+;2-(Hydroxymethyl)benzoic acid	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	concentration	2-Carboxybenzaldehyde	2.0E-6	2.0E-4	-	M
48039	H+;2-Carboxybenzaldehyde;NADPH	NADP+;2-(Hydroxymethyl)benzoic acid	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	kcat		1.683333		8.333333E-2	s^(-1)
48041	2-Nitrobenzaldehyde;NADPH;H+	2-Nitrobenzyl alcohol;NADP+	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	concentration	2-Nitrobenzaldehyde	2.4E-4	0.024	-	M
48041	2-Nitrobenzaldehyde;NADPH;H+	2-Nitrobenzyl alcohol;NADP+	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	Km	2-Nitrobenzaldehyde	0.00243		3.2E-4	M
48041	2-Nitrobenzaldehyde;NADPH;H+	2-Nitrobenzyl alcohol;NADP+	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	kcat/Km	2-Nitrobenzaldehyde	0.075		1.666667E2	M^(-1)*s^(-1)
48041	2-Nitrobenzaldehyde;NADPH;H+	2-Nitrobenzyl alcohol;NADP+	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	concentration	unknown compound			-	-
48041	2-Nitrobenzaldehyde;NADPH;H+	2-Nitrobenzyl alcohol;NADP+	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	concentration	NADPH	2.0E-4		-	M
48041	2-Nitrobenzaldehyde;NADPH;H+	2-Nitrobenzyl alcohol;NADP+	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	kcat		1.816667		1.333333E-1	s^(-1)
48043	NADPH;p-Nitrobenzaldehyde;H+	NADP+;p-Nitrobenzyl alcohol	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	concentration	unknown compound			-	-
48043	NADPH;p-Nitrobenzaldehyde;H+	NADP+;p-Nitrobenzyl alcohol	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	kcat/Km	p-Nitrobenzaldehyde	0.025		1.666667E2	M^(-1)*s^(-1)
48043	NADPH;p-Nitrobenzaldehyde;H+	NADP+;p-Nitrobenzyl alcohol	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	Km	p-Nitrobenzaldehyde	0.0061		9E-4	M
48043	NADPH;p-Nitrobenzaldehyde;H+	NADP+;p-Nitrobenzyl alcohol	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	concentration	NADPH	2.0E-4		-	M
48043	NADPH;p-Nitrobenzaldehyde;H+	NADP+;p-Nitrobenzyl alcohol	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	kcat		1.566667		1.666667E-1	s^(-1)
48043	NADPH;p-Nitrobenzaldehyde;H+	NADP+;p-Nitrobenzyl alcohol	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	concentration	p-Nitrobenzaldehyde	6.1E-4	0.061	-	M
48045	NADPH;9,10-Phenanthroquinone;H+	NADP+;Phenanthrene-9,10-diol	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	concentration	unknown compound			-	-
48045	NADPH;9,10-Phenanthroquinone;H+	NADP+;Phenanthrene-9,10-diol	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	kcat		5.416667		6.5E-1	s^(-1)
48045	NADPH;9,10-Phenanthroquinone;H+	NADP+;Phenanthrene-9,10-diol	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	kcat/Km	9,10-Phenanthroquinone	0.06		1.666667E5	M^(-1)*s^(-1)
48045	NADPH;9,10-Phenanthroquinone;H+	NADP+;Phenanthrene-9,10-diol	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	concentration	9,10-Phenanthroquinone	9.0E-7	9.0E-5	-	M
48045	NADPH;9,10-Phenanthroquinone;H+	NADP+;Phenanthrene-9,10-diol	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	Km	9,10-Phenanthroquinone	9.0E-6		3.5E-6	M
48045	NADPH;9,10-Phenanthroquinone;H+	NADP+;Phenanthrene-9,10-diol	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	concentration	NADPH	2.0E-4		-	M
48047	16-Ketoestrone;H+;NADPH	16-Hydroxyestrone;NADP+	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	kcat/Km	16-Ketoestrone	0.06		1.666667E4	M^(-1)*s^(-1)
48047	16-Ketoestrone;H+;NADPH	16-Hydroxyestrone;NADP+	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	concentration	NADPH	2.0E-4		-	M
48047	16-Ketoestrone;H+;NADPH	16-Hydroxyestrone;NADP+	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	Km	16-Ketoestrone	4.0E-5		6E-6	M
48047	16-Ketoestrone;H+;NADPH	16-Hydroxyestrone;NADP+	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	concentration	unknown compound			-	-
48047	16-Ketoestrone;H+;NADPH	16-Hydroxyestrone;NADP+	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	concentration	16-Ketoestrone	4.0E-7	4.0E-4	-	M
48047	16-Ketoestrone;H+;NADPH	16-Hydroxyestrone;NADP+	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	kcat		2.366667		1.666667E-1	s^(-1)
48049	Isatin;NADPH;H+	NADP+;2,3-Dihydroxyindole	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	concentration	Isatin	2.5E-5	0.0025	-	M
48049	Isatin;NADPH;H+	NADP+;2,3-Dihydroxyindole	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	Km	Isatin	2.48E-4		3.1E-5	M
48049	Isatin;NADPH;H+	NADP+;2,3-Dihydroxyindole	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	kcat		3.616667		2.666667E-1	s^(-1)
48049	Isatin;NADPH;H+	NADP+;2,3-Dihydroxyindole	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	concentration	NADPH	2.0E-4		-	M
48049	Isatin;NADPH;H+	NADP+;2,3-Dihydroxyindole	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	kcat/Km	Isatin	0.1466667		1.666667E3	M^(-1)*s^(-1)
48049	Isatin;NADPH;H+	NADP+;2,3-Dihydroxyindole	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	concentration	unknown compound			-	-
48051	Succinate semialdehyde;NADPH;H+	4-Hydroxybutanoate;NADP+	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	concentration	Succinate semialdehyde	0.001		-	M
48051	Succinate semialdehyde;NADPH;H+	4-Hydroxybutanoate;NADP+	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	concentration	NADPH	7.5E-8	7.5E-6	-	M
48051	Succinate semialdehyde;NADPH;H+	4-Hydroxybutanoate;NADP+	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	kcat/Km	NADPH	0.02333333		1.666667E6	M^(-1)*s^(-1)
48051	Succinate semialdehyde;NADPH;H+	4-Hydroxybutanoate;NADP+	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	concentration	unknown compound			-	-
48051	Succinate semialdehyde;NADPH;H+	4-Hydroxybutanoate;NADP+	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	kcat		1.8		1.5E-1	s^(-1)
48051	Succinate semialdehyde;NADPH;H+	4-Hydroxybutanoate;NADP+	wildtype	9576847	Homo sapiens	O43488	1.1.1.n11	6.7	25.0	Km	NADPH	7.5E-7		3E-7	M
51361	NADPH;Succinate semialdehyde;H+	4-Hydroxybutanoate;NADP+	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	concentration	Succinate semialdehyde	1.0E-5	1.2E-4	-	M
51361	NADPH;Succinate semialdehyde;H+	4-Hydroxybutanoate;NADP+	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	concentration	NADPH	2.0E-4		-	M
51361	NADPH;Succinate semialdehyde;H+	4-Hydroxybutanoate;NADP+	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	kcat		1.333333		2E-1	s^(-1)
51361	NADPH;Succinate semialdehyde;H+	4-Hydroxybutanoate;NADP+	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	concentration	unknown compound	0.01		-	mg/ml
51361	NADPH;Succinate semialdehyde;H+	4-Hydroxybutanoate;NADP+	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	Km	Succinate semialdehyde	2.0E-5		1E-5	M
51361	NADPH;Succinate semialdehyde;H+	4-Hydroxybutanoate;NADP+	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	kcat/Km	Succinate semialdehyde	67000.0		-	M^(-1)*s^(-1)
51362	H+;p-Nitrobenzaldehyde;NADPH	NADP+;p-Nitrobenzyl alcohol	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	concentration	p-Nitrobenzaldehyde	4.35E-4	0.00522	-	M
51362	H+;p-Nitrobenzaldehyde;NADPH	NADP+;p-Nitrobenzyl alcohol	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	concentration	NADPH	2.0E-4		-	M
51362	H+;p-Nitrobenzaldehyde;NADPH	NADP+;p-Nitrobenzyl alcohol	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	kcat		0.7666667		1E-1	s^(-1)
51362	H+;p-Nitrobenzaldehyde;NADPH	NADP+;p-Nitrobenzyl alcohol	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	Km	p-Nitrobenzaldehyde	8.7E-4		5E-4	M
51362	H+;p-Nitrobenzaldehyde;NADPH	NADP+;p-Nitrobenzyl alcohol	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	kcat/Km	p-Nitrobenzaldehyde	890.0		-	M^(-1)*s^(-1)
51362	H+;p-Nitrobenzaldehyde;NADPH	NADP+;p-Nitrobenzyl alcohol	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	concentration	unknown compound	0.01		-	mg/ml
51363	H+;NADPH;9,10-Phenanthroquinone	NADP+;Phenanthrene-9,10-diol	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	concentration	9,10-Phenanthroquinone	4.0E-6	4.8E-5	-	M
51363	H+;NADPH;9,10-Phenanthroquinone	NADP+;Phenanthrene-9,10-diol	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	kcat/Km	9,10-Phenanthroquinone	128166.7		-	M^(-1)*s^(-1)
51363	H+;NADPH;9,10-Phenanthroquinone	NADP+;Phenanthrene-9,10-diol	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	kcat		1.033333		1E-1	s^(-1)
51363	H+;NADPH;9,10-Phenanthroquinone	NADP+;Phenanthrene-9,10-diol	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	Km	9,10-Phenanthroquinone	8.0E-6		4E-6	M
51363	H+;NADPH;9,10-Phenanthroquinone	NADP+;Phenanthrene-9,10-diol	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	concentration	unknown compound	0.01		-	mg/ml
51363	H+;NADPH;9,10-Phenanthroquinone	NADP+;Phenanthrene-9,10-diol	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	concentration	NADPH	2.0E-4		-	M
51364	H+;NADPH;2-Carboxybenzaldehyde	2-(Hydroxymethyl)benzoic acid;NADP+	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	kcat		1.3		2.833333E-1	s^(-1)
51364	H+;NADPH;2-Carboxybenzaldehyde	2-(Hydroxymethyl)benzoic acid;NADP+	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	Km	2-Carboxybenzaldehyde	1.6E-5		3E-6	M
51364	H+;NADPH;2-Carboxybenzaldehyde	2-(Hydroxymethyl)benzoic acid;NADP+	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	concentration	unknown compound	0.01		-	mg/ml
51364	H+;NADPH;2-Carboxybenzaldehyde	2-(Hydroxymethyl)benzoic acid;NADP+	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	concentration	2-Carboxybenzaldehyde	8.0E-6	9.6E-5	-	M
51364	H+;NADPH;2-Carboxybenzaldehyde	2-(Hydroxymethyl)benzoic acid;NADP+	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	concentration	NADPH	2.0E-4		-	M
51364	H+;NADPH;2-Carboxybenzaldehyde	2-(Hydroxymethyl)benzoic acid;NADP+	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	kcat/Km	2-Carboxybenzaldehyde	81000.0		-	M^(-1)*s^(-1)
51365	Aflatoxin B1 dihydrodiol;NADPH;H+	Aflatoxin B1 dialcohol;NADP+	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	8.5	25.0	concentration	Aflatoxin B1 dihydrodiol	4.5E-5	5.4E-4	-	M
51365	Aflatoxin B1 dihydrodiol;NADPH;H+	Aflatoxin B1 dialcohol;NADP+	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	8.5	25.0	kcat/Km	Aflatoxin B1 dihydrodiol	6283.333		-	M^(-1)*s^(-1)
51365	Aflatoxin B1 dihydrodiol;NADPH;H+	Aflatoxin B1 dialcohol;NADP+	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	8.5	25.0	kcat		0.5666667		1.166667E-1	s^(-1)
51365	Aflatoxin B1 dihydrodiol;NADPH;H+	Aflatoxin B1 dialcohol;NADP+	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	8.5	25.0	concentration	NADPH	2.0E-4		-	M
51365	Aflatoxin B1 dihydrodiol;NADPH;H+	Aflatoxin B1 dialcohol;NADP+	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	8.5	25.0	concentration	unknown compound	0.01		-	mg/ml
51365	Aflatoxin B1 dihydrodiol;NADPH;H+	Aflatoxin B1 dialcohol;NADP+	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	8.5	25.0	Km	Aflatoxin B1 dihydrodiol	9.0E-5		3E-5	M
51366	NADPH;Isatin;H+	NADP+;2,3-Dihydroxyindole	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	kcat		0.9		5E-2	s^(-1)
51366	NADPH;Isatin;H+	NADP+;2,3-Dihydroxyindole	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	kcat/Km	Isatin	8316.667		-	M^(-1)*s^(-1)
51366	NADPH;Isatin;H+	NADP+;2,3-Dihydroxyindole	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	concentration	Isatin	5.5E-5	6.6E-4	-	M
51366	NADPH;Isatin;H+	NADP+;2,3-Dihydroxyindole	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	concentration	unknown compound	0.01		-	mg/ml
51366	NADPH;Isatin;H+	NADP+;2,3-Dihydroxyindole	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	Km	Isatin	1.09E-4		2.6E-5	M
51366	NADPH;Isatin;H+	NADP+;2,3-Dihydroxyindole	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	concentration	NADPH	2.0E-4		-	M
51367	2-Nitrobenzaldehyde;H+;NADPH	2-Nitrobenzyl alcohol;NADP+	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	Km	2-Nitrobenzaldehyde	4.6E-4		1.4E-4	M
51367	2-Nitrobenzaldehyde;H+;NADPH	2-Nitrobenzyl alcohol;NADP+	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	concentration	NADPH	2.0E-4		-	M
51367	2-Nitrobenzaldehyde;H+;NADPH	2-Nitrobenzyl alcohol;NADP+	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	concentration	unknown compound	0.01		-	mg/ml
51367	2-Nitrobenzaldehyde;H+;NADPH	2-Nitrobenzyl alcohol;NADP+	wildtype	12123834	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	kcat/Km	2-Nitrobenzaldehyde	2716.667		-	M^(-1)*s^(-1)
